year,month,day,hour,minute,second,moisture0,moisture1,moisture2,moisture3,moisture4,irrigation
2021,3,7,8,56,44,0.2,0.6,0.49,0.12,0.03,FALSE
2021,3,7,8,57,44,0.2,0.6,0.49,0.12,0.03,FALSE
2021,3,7,8,58,44,0.2,0.58,0.49,0.12,0.03,FALSE
2021,3,7,8,59,44,0.2,0.59,0.49,0.12,0.03,FALSE
2021,3,7,9,0,44,0.2,0.58,0.48,0.12,0.03,FALSE
2021,3,7,9,1,44,0.2,0.57,0.48,0.12,0.03,FALSE
2021,3,7,9,2,44,0.2,0.58,0.48,0.12,0.03,FALSE
2021,3,7,9,3,44,0.2,0.6,0.48,0.12,0.03,FALSE
2021,3,7,9,4,44,0.2,0.61,0.48,0.12,0.03,FALSE
2021,3,7,9,5,44,0.2,0.6,0.48,0.12,0.03,FALSE
2021,3,7,9,6,44,0.2,0.6,0.48,0.12,0.03,FALSE
2021,3,7,9,7,44,0.2,0.6,0.48,0.12,0.03,FALSE
2021,3,7,9,8,44,0.2,0.6,0.48,0.12,0.03,FALSE
2021,3,7,9,9,44,0.2,0.62,0.48,0.12,0.03,FALSE
2021,3,7,9,10,44,0.2,0.58,0.48,0.12,0.03,FALSE
2021,3,7,9,11,44,0.2,0.57,0.48,0.12,0.03,FALSE
2021,3,7,9,12,45,0.2,0.59,0.49,0.15,0.04,FALSE
2021,3,7,9,13,45,0.2,0.54,0.48,0.12,0.03,FALSE
2021,3,7,9,14,45,0.2,0.53,0.47,0.12,0.03,FALSE
2021,3,7,9,15,45,0.2,0.54,0.47,0.12,0.03,FALSE
2021,3,7,9,16,45,0.2,0.53,0.47,0.11,0.02,FALSE
2021,3,7,9,17,45,0.2,0.54,0.48,0.12,0.03,FALSE
2021,3,7,9,18,45,0.2,0.53,0.48,0.12,0.03,FALSE
2021,3,7,9,19,45,0.2,0.52,0.48,0.12,0.02,FALSE
2021,3,7,9,20,45,0.2,0.57,0.48,0.12,0.03,FALSE
2021,3,7,9,21,45,0.2,0.59,0.48,0.12,0.03,FALSE
2021,3,7,9,22,45,0.2,0.59,0.48,0.12,0.03,FALSE
2021,3,7,9,23,45,0.2,0.57,0.47,0.12,0.03,FALSE
2021,3,7,9,24,45,0.2,0.59,0.47,0.12,0.03,FALSE
2021,3,7,9,25,45,0.2,0.57,0.48,0.12,0.03,FALSE
2021,3,7,9,26,45,0.2,0.56,0.48,0.11,0.03,FALSE
2021,3,7,9,27,45,0.2,0.54,0.48,0.12,0.03,FALSE
2021,3,7,9,28,45,0.2,0.52,0.47,0.12,0.02,FALSE
2021,3,7,9,29,45,0.2,0.55,0.47,0.13,0.03,FALSE
2021,3,7,9,30,45,0.2,0.57,0.47,0.12,0.03,FALSE
2021,3,7,9,31,45,0.2,0.55,0.47,0.12,0.03,FALSE
2021,3,7,9,32,46,0.2,0.57,0.47,0.12,0.03,FALSE
2021,3,7,9,33,46,0.2,0.59,0.48,0.13,0.04,FALSE
2021,3,7,9,34,46,0.2,0.57,0.47,0.11,0.03,FALSE
2021,3,7,9,35,46,0.2,0.58,0.47,0.11,0.03,FALSE
2021,3,7,9,36,46,0.2,0.59,0.47,0.12,0.03,FALSE
2021,3,7,9,37,46,0.2,0.61,0.47,0.12,0.03,FALSE
2021,3,7,9,38,46,0.2,0.61,0.48,0.12,0.03,FALSE
2021,3,7,9,39,46,0.2,0.64,0.48,0.12,0.03,FALSE
2021,3,7,9,40,46,0.2,0.65,0.48,0.12,0.03,FALSE
2021,3,7,9,41,46,0.2,0.64,0.47,0.12,0.03,FALSE
2021,3,7,9,42,46,0.2,0.39,0.47,0.11,0.02,FALSE
2021,3,7,9,43,46,0.2,0.46,0.47,0.11,0.02,FALSE
2021,3,7,9,44,46,0.2,0.53,0.47,0.11,0.03,FALSE
2021,3,7,9,45,46,0.2,0.56,0.47,0.12,0.03,FALSE
2021,3,7,9,46,46,0.2,0.57,0.47,0.12,0.03,FALSE
2021,3,7,9,47,46,0.2,0.58,0.47,0.12,0.03,FALSE
2021,3,7,9,48,46,0.2,0.59,0.47,0.12,0.03,FALSE
2021,3,7,9,49,46,0.2,0.6,0.48,0.12,0.03,FALSE
2021,3,7,9,50,46,0.2,0.61,0.48,0.12,0.03,FALSE
2021,3,7,9,51,46,0.21,0.62,0.48,0.12,0.03,FALSE
2021,3,7,9,52,47,0.21,0.61,0.48,0.12,0.03,FALSE
2021,3,7,9,53,47,0.21,0.6,0.48,0.12,0.03,FALSE
2021,3,7,9,54,47,0.24,0.61,0.48,0.13,0.04,FALSE
2021,3,7,9,55,47,0.21,0.61,0.48,0.12,0.03,FALSE
2021,3,7,9,56,47,0.21,0.58,0.48,0.12,0.03,FALSE
2021,3,7,9,57,47,0.2,0.52,0.48,0.11,0.02,FALSE
2021,3,7,9,58,47,0.21,0.53,0.48,0.11,0.02,FALSE
2021,3,7,9,59,47,0.21,0.55,0.48,0.12,0.03,FALSE
2021,3,7,10,0,47,0.21,0.57,0.48,0.12,0.03,FALSE
