year,month,day,hour,minute,second,moisture0,moisture1,moisture2,moisture3,moisture4,irrigation
2015,3,7,0,56,19,0.21,0.31,0.31,0.1,0.02,FALSE
2015,3,7,0,57,19,0.21,0.31,0.31,0.1,0.02,FALSE
2015,3,7,0,58,19,0.21,0.31,0.31,0.1,0.02,FALSE
2015,3,7,0,59,19,0.21,0.31,0.33,0.13,0.03,FALSE
2015,3,7,1,0,20,0.21,0.31,0.3,0.1,0.02,FALSE
2015,3,7,1,1,20,0.21,0.31,0.31,0.1,0.02,FALSE
2015,3,7,1,2,20,0.2,0.31,0.31,0.1,0.02,FALSE
2015,3,7,1,3,20,0.2,0.31,0.31,0.1,0.02,FALSE
2015,3,7,1,4,20,0.21,0.31,0.31,0.1,0.02,FALSE
2015,3,7,1,5,20,0.21,0.32,0.31,0.1,0.02,FALSE
2015,3,7,1,6,20,0.2,0.33,0.31,0.1,0.02,FALSE
2015,3,7,1,7,20,0.2,0.36,0.31,0.1,0.02,FALSE
2015,3,7,1,8,20,0.21,0.38,0.31,0.1,0.02,FALSE
2015,3,7,1,9,20,0.2,0.39,0.31,0.1,0.02,FALSE
2015,3,7,1,10,20,0.23,0.39,0.32,0.11,0.03,FALSE
2015,3,7,1,11,20,0.2,0.38,0.31,0.1,0.02,FALSE
2015,3,7,1,12,20,0.21,0.38,0.31,0.1,0.02,FALSE
2015,3,7,1,13,20,0.2,0.36,0.31,0.1,0.02,FALSE
2015,3,7,1,14,20,0.21,0.33,0.31,0.1,0.02,FALSE
2015,3,7,1,15,20,0.2,0.38,0.31,0.1,0.02,FALSE
2015,3,7,1,16,20,0.21,0.38,0.31,0.1,0.02,FALSE
2015,3,7,1,17,20,0.2,0.34,0.31,0.1,0.02,FALSE
2015,3,7,1,18,20,0.21,0.37,0.31,0.1,0.02,FALSE
2015,3,7,1,19,20,0.2,0.37,0.31,0.1,0.02,FALSE
2015,3,7,1,20,21,0.21,0.38,0.31,0.13,0.03,FALSE
2015,3,7,1,21,21,0.2,0.38,0.31,0.1,0.02,FALSE
2015,3,7,1,22,21,0.2,0.33,0.31,0.1,0.02,FALSE
2015,3,7,1,23,21,0.2,0.34,0.31,0.1,0.02,FALSE
2015,3,7,1,24,21,0.21,0.37,0.31,0.1,0.02,FALSE
2015,3,7,1,25,21,0.21,0.38,0.31,0.1,0.02,FALSE
2015,3,7,1,26,21,0.21,0.39,0.31,0.1,0.02,FALSE
2015,3,7,1,27,21,0.21,0.36,0.31,0.11,0.02,FALSE
2015,3,7,1,28,21,0.21,0.37,0.31,0.12,0.02,FALSE
2015,3,7,1,29,21,0.21,0.37,0.32,0.12,0.02,FALSE
2015,3,7,1,30,21,0.2,0.37,0.31,0.11,0.02,FALSE
2015,3,7,1,31,21,0.23,0.37,0.32,0.12,0.03,FALSE
