year,month,day,hour,minute,second,moisture0,moisture1,moisture2,moisture3,moisture4,irrigation
2022,3,7,10,16,48,0.2,0.58,0.48,0.12,0.03,FALSE
2022,3,7,10,17,48,0.2,0.58,0.48,0.12,0.03,FALSE
2022,3,7,10,18,48,0.2,0.59,0.48,0.12,0.03,FALSE
2022,3,7,10,19,48,0.21,0.59,0.48,0.12,0.03,FALSE
2022,3,7,10,20,48,0.21,0.59,0.48,0.12,0.03,FALSE
2022,3,7,10,21,48,0.2,0.59,0.48,0.12,0.03,FALSE
2022,3,7,10,22,48,0.21,0.58,0.48,0.12,0.03,FALSE
2022,3,7,10,23,48,0.21,0.58,0.49,0.13,0.03,FALSE
2022,3,7,10,24,48,0.21,0.58,0.48,0.14,0.03,FALSE
2022,3,7,10,25,48,0.24,0.58,0.49,0.15,0.04,FALSE
2022,3,7,10,26,48,0.21,0.57,0.48,0.13,0.03,FALSE
2022,3,7,10,27,48,0.21,0.57,0.48,0.13,0.03,FALSE
2022,3,7,10,28,48,0.21,0.58,0.48,0.13,0.03,FALSE
2022,3,7,10,29,48,0.21,0.58,0.49,0.13,0.03,FALSE
2022,3,7,10,30,48,0.21,0.58,0.49,0.12,0.03,FALSE
2022,3,7,10,31,48,0.21,0.58,0.48,0.12,0.03,FALSE
2022,3,7,10,32,49,0.21,0.58,0.49,0.12,0.03,FALSE
2022,3,7,10,33,49,0.21,0.58,0.49,0.12,0.03,FALSE
2022,3,7,10,34,49,0.21,0.58,0.48,0.12,0.03,FALSE
2022,3,7,10,35,49,0.21,0.58,0.5,0.15,0.04,FALSE
2022,3,7,10,36,49,0.21,0.58,0.48,0.12,0.03,FALSE
2022,3,7,10,37,49,0.21,0.58,0.48,0.13,0.03,FALSE
2022,3,7,10,38,49,0.21,0.58,0.48,0.12,0.03,FALSE
2022,3,7,10,39,49,0.21,0.58,0.48,0.12,0.03,FALSE
2022,3,7,10,40,49,0.21,0.58,0.48,0.12,0.03,FALSE
2022,3,7,10,41,49,0.21,0.59,0.48,0.12,0.03,FALSE
2022,3,7,10,42,49,0.2,0.59,0.48,0.12,0.03,FALSE
2022,3,7,10,43,49,0.2,0.59,0.49,0.12,0.03,FALSE
2022,3,7,10,44,49,0.21,0.59,0.49,0.12,0.03,FALSE
2022,3,7,10,45,49,0.21,0.6,0.49,0.12,0.03,FALSE
2022,3,7,10,46,49,0.21,0.59,0.49,0.12,0.03,FALSE
2022,3,7,10,47,49,0.21,0.59,0.48,0.12,0.03,FALSE
