year,month,day,hour,minute,second,moisture0,moisture1,moisture2,moisture3,moisture4,irrigation
2019,3,7,6,17,36,0.22,0.96,0.37,0.14,0.04,FALSE
2019,3,7,6,18,36,0.22,0.96,0.37,0.14,0.04,FALSE
2019,3,7,6,19,36,0.22,0.96,0.37,0.14,0.04,FALSE
2019,3,7,6,20,36,0.22,0.96,0.37,0.14,0.04,FALSE
2019,3,7,6,21,36,0.22,0.96,0.37,0.14,0.04,FALSE
2019,3,7,6,22,36,0.22,0.96,0.37,0.13,0.04,FALSE
2019,3,7,6,23,36,0.22,0.96,0.38,0.13,0.04,FALSE
2019,3,7,6,24,36,0.22,0.96,0.38,0.13,0.05,FALSE
2019,3,7,6,25,36,0.21,0.96,0.38,0.14,0.04,FALSE
2019,3,7,6,26,36,0.21,0.96,0.38,0.14,0.04,FALSE
2019,3,7,6,27,36,0.21,0.96,0.38,0.14,0.04,FALSE
2019,3,7,6,28,36,0.21,0.96,0.38,0.13,0.04,FALSE
2019,3,7,6,29,36,0.21,0.96,0.38,0.13,0.04,FALSE
2019,3,7,6,30,36,0.21,0.96,0.38,0.13,0.04,FALSE
2019,3,7,6,31,36,0.21,0.96,0.38,0.14,0.04,FALSE
2019,3,7,6,32,36,0.21,0.96,0.39,0.14,0.04,FALSE
2019,3,7,6,33,37,0.21,0.96,0.39,0.14,0.04,FALSE
2019,3,7,6,34,37,0.21,0.96,0.39,0.14,0.04,FALSE
2019,3,7,6,35,37,0.25,0.96,0.41,0.16,0.06,FALSE
2019,3,7,6,36,37,0.21,0.96,0.39,0.14,0.04,FALSE
2019,3,7,6,37,37,0.21,0.96,0.39,0.14,0.04,FALSE
2019,3,7,6,38,37,0.21,0.96,0.4,0.14,0.04,FALSE
2019,3,7,6,39,37,0.22,0.96,0.39,0.14,0.04,FALSE
2019,3,7,6,40,37,0.22,0.96,0.39,0.14,0.04,FALSE
2019,3,7,6,41,37,0.22,0.96,0.4,0.14,0.04,FALSE
2019,3,7,6,42,37,0.22,0.96,0.4,0.14,0.04,FALSE
2019,3,7,6,43,37,0.22,0.96,0.4,0.14,0.04,FALSE
2019,3,7,6,44,37,0.22,0.96,0.4,0.14,0.04,FALSE
2019,3,7,6,45,37,0.22,0.96,0.4,0.18,0.06,FALSE
2019,3,7,6,46,37,0.22,0.96,0.4,0.13,0.04,FALSE
2019,3,7,6,47,37,0.22,0.96,0.4,0.14,0.04,FALSE
2019,3,7,6,48,37,0.22,0.96,0.4,0.14,0.04,FALSE
2019,3,7,6,49,37,0.22,0.96,0.4,0.14,0.04,FALSE
2019,3,7,6,50,37,0.22,0.96,0.4,0.14,0.04,FALSE
2019,3,7,6,51,37,0.2,0.95,0.4,0.12,0.03,FALSE
2019,3,7,6,52,37,0.21,0.95,0.4,0.13,0.04,FALSE
2019,3,7,6,53,38,0.21,0.94,0.4,0.14,0.04,FALSE
2019,3,7,6,54,38,0.21,0.94,0.4,0.14,0.04,FALSE
2019,3,7,6,55,38,0.21,0.94,0.4,0.15,0.04,FALSE
2019,3,7,6,56,38,0.22,0.93,0.4,0.15,0.04,FALSE
2019,3,7,6,57,38,0.21,0.95,0.4,0.14,0.03,FALSE
2019,3,7,6,58,38,0.21,0.94,0.4,0.14,0.03,FALSE
2019,3,7,6,59,38,0.21,0.95,0.4,0.14,0.03,FALSE
2019,3,7,7,0,38,0.21,0.95,0.4,0.13,0.03,FALSE
2019,3,7,7,1,38,0.21,0.95,0.4,0.13,0.04,FALSE
2019,3,7,7,2,38,0.21,0.95,0.4,0.13,0.04,FALSE
2019,3,7,7,3,38,0.21,0.95,0.41,0.13,0.03,FALSE
2019,3,7,7,4,38,0.21,0.95,0.41,0.13,0.03,FALSE
2019,3,7,7,5,38,0.21,0.95,0.41,0.13,0.03,FALSE
2019,3,7,7,6,38,0.21,0.95,0.41,0.17,0.04,FALSE
2019,3,7,7,7,38,0.2,0.95,0.41,0.13,0.03,FALSE
2019,3,7,7,8,38,0.2,0.95,0.41,0.13,0.03,FALSE
2019,3,7,7,9,38,0.2,0.95,0.41,0.13,0.03,FALSE
2019,3,7,7,10,38,0.2,0.95,0.41,0.13,0.03,FALSE
2019,3,7,7,11,38,0.2,0.95,0.41,0.12,0.03,FALSE
2019,3,7,7,12,38,0.2,0.95,0.41,0.12,0.03,FALSE
2019,3,7,7,13,39,0.21,0.95,0.41,0.12,0.03,FALSE
2019,3,7,7,14,39,0.21,0.95,0.41,0.12,0.03,FALSE
2019,3,7,7,15,39,0.21,0.95,0.41,0.12,0.03,FALSE
2019,3,7,7,16,39,0.21,0.95,0.41,0.12,0.03,FALSE
2019,3,7,7,17,39,0.22,0.94,0.41,0.13,0.04,FALSE
2019,3,7,7,18,39,0.21,0.95,0.41,0.13,0.03,FALSE
2019,3,7,7,19,39,0.21,0.95,0.41,0.13,0.03,FALSE
2019,3,7,7,20,39,0.21,0.95,0.41,0.13,0.03,FALSE
2019,3,7,7,21,39,0.21,0.93,0.41,0.13,0.03,FALSE
2019,3,7,7,22,39,0.21,0.93,0.41,0.12,0.03,FALSE
2019,3,7,7,23,39,0.21,0.94,0.41,0.12,0.03,FALSE
2019,3,7,7,24,39,0.21,0.93,0.41,0.12,0.03,FALSE
2019,3,7,7,25,39,0.21,0.94,0.41,0.12,0.03,FALSE
2019,3,7,7,26,39,0.21,0.94,0.41,0.13,0.03,FALSE
2019,3,7,7,27,39,0.21,0.93,0.41,0.17,0.04,FALSE
2019,3,7,7,28,39,0.21,0.94,0.41,0.14,0.03,FALSE
2019,3,7,7,29,39,0.2,0.94,0.42,0.14,0.03,FALSE
2019,3,7,7,30,39,0.2,0.92,0.42,0.13,0.03,FALSE
2019,3,7,7,31,39,0.2,0.94,0.42,0.13,0.03,FALSE
2019,3,7,7,32,39,0.2,0.94,0.42,0.13,0.03,FALSE
2019,3,7,7,33,40,0.2,0.95,0.42,0.13,0.03,FALSE
2019,3,7,7,34,40,0.2,0.95,0.42,0.13,0.03,FALSE
