year,month,day,hour,minute,second,moisture0,moisture1,moisture2,moisture3,moisture4,irrigation
2018,3,7,4,56,32,0.21,0.95,0.35,0.13,0.04,FALSE
2018,3,7,4,57,32,0.21,0.95,0.35,0.13,0.04,FALSE
2018,3,7,4,58,32,0.21,0.95,0.35,0.13,0.04,FALSE
2018,3,7,4,59,32,0.21,0.95,0.35,0.13,0.04,FALSE
2018,3,7,5,0,32,0.21,0.95,0.35,0.13,0.05,FALSE
2018,3,7,5,1,32,0.21,0.95,0.35,0.13,0.04,FALSE
2018,3,7,5,2,32,0.21,0.95,0.35,0.13,0.04,FALSE
2018,3,7,5,3,32,0.21,0.95,0.35,0.13,0.04,FALSE
2018,3,7,5,4,32,0.21,0.95,0.35,0.13,0.04,FALSE
2018,3,7,5,5,32,0.21,0.95,0.35,0.13,0.04,FALSE
2018,3,7,5,6,32,0.21,0.95,0.35,0.13,0.04,FALSE
2018,3,7,5,7,32,0.21,0.95,0.34,0.13,0.04,FALSE
2018,3,7,5,8,32,0.21,0.95,0.34,0.13,0.04,FALSE
2018,3,7,5,9,32,0.21,0.95,0.34,0.13,0.04,FALSE
2018,3,7,5,10,32,0.21,0.95,0.34,0.13,0.04,FALSE
2018,3,7,5,11,32,0.27,0.94,0.36,0.16,0.06,FALSE
2018,3,7,5,12,32,0.21,0.95,0.34,0.13,0.04,FALSE
2018,3,7,5,13,33,0.22,0.95,0.34,0.13,0.04,FALSE
2018,3,7,5,14,33,0.21,0.94,0.34,0.13,0.04,FALSE
2018,3,7,5,15,33,0.21,0.94,0.34,0.13,0.04,FALSE
2018,3,7,5,16,33,0.22,0.94,0.34,0.13,0.04,FALSE
2018,3,7,5,17,33,0.21,0.94,0.34,0.13,0.04,FALSE
2018,3,7,5,18,33,0.21,0.94,0.34,0.14,0.04,FALSE
2018,3,7,5,19,33,0.21,0.95,0.34,0.14,0.04,FALSE
2018,3,7,5,20,33,0.21,0.94,0.35,0.13,0.04,FALSE
2018,3,7,5,21,33,0.21,0.94,0.35,0.13,0.04,FALSE
2018,3,7,5,22,33,0.21,0.94,0.35,0.13,0.04,FALSE
2018,3,7,5,23,33,0.21,0.94,0.35,0.13,0.04,FALSE
2018,3,7,5,24,33,0.21,0.94,0.35,0.13,0.04,FALSE
2018,3,7,5,25,33,0.21,0.94,0.35,0.13,0.04,FALSE
2018,3,7,5,26,33,0.21,0.94,0.35,0.13,0.04,FALSE
2018,3,7,5,27,33,0.21,0.94,0.35,0.13,0.04,FALSE
2018,3,7,5,28,33,0.21,0.94,0.34,0.13,0.04,FALSE
2018,3,7,5,29,33,0.21,0.94,0.35,0.14,0.04,FALSE
2018,3,7,5,30,33,0.21,0.95,0.34,0.14,0.04,FALSE
2018,3,7,5,31,33,0.21,0.95,0.34,0.14,0.04,FALSE
2018,3,7,5,32,33,0.26,0.93,0.36,0.16,0.06,FALSE
2018,3,7,5,33,34,0.21,0.95,0.34,0.14,0.04,FALSE
2018,3,7,5,34,34,0.22,0.95,0.34,0.13,0.04,FALSE
2018,3,7,5,35,34,0.21,0.95,0.34,0.13,0.04,FALSE
2018,3,7,5,36,34,0.21,0.95,0.34,0.13,0.04,FALSE
2018,3,7,5,37,34,0.21,0.95,0.35,0.13,0.04,FALSE
2018,3,7,5,38,34,0.21,0.95,0.35,0.13,0.04,FALSE
2018,3,7,5,39,34,0.21,0.95,0.35,0.13,0.04,FALSE
2018,3,7,5,40,34,0.21,0.95,0.35,0.13,0.04,FALSE
2018,3,7,5,41,34,0.21,0.95,0.35,0.13,0.04,FALSE
2018,3,7,5,42,34,0.21,0.95,0.34,0.14,0.06,FALSE
2018,3,7,5,43,34,0.21,0.95,0.34,0.14,0.04,FALSE
2018,3,7,5,44,34,0.21,0.95,0.34,0.14,0.04,FALSE
2018,3,7,5,45,34,0.21,0.95,0.34,0.14,0.04,FALSE
2018,3,7,5,46,34,0.21,0.95,0.34,0.13,0.04,FALSE
2018,3,7,5,47,34,0.21,0.95,0.34,0.13,0.04,FALSE
2018,3,7,5,48,34,0.21,0.95,0.34,0.13,0.04,FALSE
2018,3,7,5,49,34,0.21,0.95,0.34,0.13,0.04,FALSE
2018,3,7,5,50,34,0.21,0.95,0.35,0.14,0.04,FALSE
2018,3,7,5,51,34,0.21,0.95,0.35,0.14,0.04,FALSE
2018,3,7,5,52,34,0.21,0.95,0.35,0.13,0.04,FALSE
2018,3,7,5,53,35,0.24,0.94,0.36,0.16,0.06,FALSE
2018,3,7,5,54,35,0.21,0.95,0.35,0.14,0.04,FALSE
2018,3,7,5,55,35,0.21,0.95,0.35,0.14,0.04,FALSE
2018,3,7,5,56,35,0.21,0.95,0.35,0.14,0.04,FALSE
2018,3,7,5,57,35,0.21,0.95,0.35,0.14,0.04,FALSE
2018,3,7,5,58,35,0.21,0.95,0.35,0.14,0.04,FALSE
2018,3,7,5,59,35,0.21,0.95,0.36,0.14,0.04,FALSE
2018,3,7,6,0,35,0.21,0.95,0.36,0.14,0.04,FALSE
2018,3,7,6,1,35,0.21,0.95,0.36,0.14,0.04,FALSE
2018,3,7,6,2,35,0.21,0.95,0.36,0.13,0.04,FALSE
2018,3,7,6,3,35,0.21,0.95,0.36,0.13,0.06,FALSE
2018,3,7,6,4,35,0.22,0.94,0.36,0.13,0.04,FALSE
2018,3,7,6,5,35,0.22,0.95,0.36,0.13,0.04,FALSE
2018,3,7,6,6,35,0.22,0.95,0.36,0.13,0.04,FALSE
2018,3,7,6,7,35,0.22,0.96,0.37,0.13,0.04,FALSE
2018,3,7,6,8,35,0.22,0.96,0.37,0.14,0.04,FALSE
2018,3,7,6,9,35,0.22,0.96,0.37,0.14,0.04,FALSE
2018,3,7,6,10,35,0.22,0.95,0.37,0.14,0.04,FALSE
2018,3,7,6,11,35,0.22,0.96,0.37,0.14,0.04,FALSE
2018,3,7,6,12,35,0.22,0.96,0.37,0.14,0.04,FALSE
2018,3,7,6,13,36,0.22,0.96,0.37,0.13,0.04,FALSE
2018,3,7,6,14,36,0.26,0.95,0.39,0.16,0.06,FALSE
2018,3,7,6,15,36,0.22,0.96,0.37,0.13,0.04,FALSE
